customer_id,first_name,last_name,country,marital_status,gender,birthdate,create_date
1,Jon,Yang,Australia,Married,Male,1971-10-06,2011-10-06
2,Eugene,Huang,Australia,Single,Male,1976-05-10,2011-10-06
3,Ruben,Torres,Australia,Married,Male,1971-02-09,2011-10-06
4,Christy,Zhu,Australia,Single,Female,1973-08-14,2011-10-06
5,Elizabeth,Johnson,Australia,Single,Female,1979-08-05,2011-10-06
6,Julio,Ruiz,Australia,Single,Male,1976-08-01,2011-10-06
7,Janet,Alvarez,Australia,Single,Male,1976-12-02,2011-10-06
8,Marco,Mehta,Australia,Married,Male,1969-11-06,2011-10-06
9,Rob,Verhoff,Australia,Single,Male,1975-07-04,2011-10-06
10,Shannon,Carlson,Australia,Single,Male,1969-09-29,2011-10-06
11,Jacquelyn,Suarez,Australia,Single,Male,1969-08-05,2011-10-06
12,Curtis,Lu,Australia,Married,Male,1969-05-03,2011-10-06
13,Lauren,Walker,United States,Married,Male,1979-01-14,2011-10-06
14,Ian,Jenkins,United States,Married,Male,1979-08-03,2011-10-06
15,Sydney,Bennett,United States,Single,Male,1973-11-06,2011-10-06
16,Chloe,Young,United States,Single,Male,1984-08-26,2011-10-06
17,Wyatt,Hill,United States,Married,Male,1984-10-25,2011-10-07
18,Shannon,Wang,Australia,Single,Male,1949-12-24,2011-10-07
19,Clarence,Rai,Australia,Single,Male,1955-10-06,2011-10-07
20,Luke,Lal,Canada,Single,Male,1983-09-04,2011-10-07
21,Jordan,King,Canada,Single,Male,1984-03-19,2011-10-07
22,Destiny,Wilson,United States,Single,Male,1984-03-02,2011-10-07
23,Ethan,Zhang,United States,Married,Male,1984-04-10,2011-10-07
24,Seth,Edwards,United States,Married,Male,1984-04-09,2011-10-07
25,Russell,Xie,United States,Married,Male,1984-03-16,2011-10-07
26,Alejandro,Beck,Australia,Married,Male,1951-06-22,2011-10-07
27,Harold,Sai,Australia,Single,Male,1951-10-01,2011-10-07
28,Jessie,Zhao,Australia,Married,Male,1952-06-05,2011-10-07
29,Jill,Jimenez,Australia,Married,Male,1951-10-09,2011-10-07
30,Jimmy,Moreno,Australia,Married,Male,1952-06-19,2011-10-07
31,Bethany,Yuan,Australia,Married,Male,1958-02-18,2011-10-07
32,Theresa,Ramos,Australia,Married,Male,1953-02-18,2011-10-07
33,Denise,Stone,Australia,Married,Male,1952-12-08,2011-10-07
34,Jaime,Nath,Australia,Married,Male,1958-09-19,2011-10-07
35,Ebony,Gonzalez,Australia,Married,Male,1952-12-16,2011-10-07
36,Wendy,Dominguez,Australia,Married,Male,1953-08-23,2011-10-07
37,Jennifer,Russell,United States,Married,Male,1984-06-16,2011-10-07
38,Chloe,Garcia,Canada,Single,Male,1983-05-27,2011-10-07
39,Diana,Hernandez,Australia,Married,Male,1953-09-20,2011-10-07
40,Marc,Martin,Australia,Married,Male,1954-06-16,2011-10-07
41,Jesse,Murphy,United States,Married,Male,1983-01-29,2011-10-07
42,Amanda,Carter,United States,Married,Male,1983-04-15,2011-10-07
43,Megan,Sanchez,United States,Married,Male,1982-12-11,2011-10-07
44,Nathan,Simmons,United States,Married,Male,1981-08-23,2011-10-07
45,Adam,Flores,Australia,Married,Male,1954-11-21,2011-10-07
46,Leonard,Nara,Australia,Single,Male,1955-11-16,2011-10-07
47,Christine,Yuan,Australia,Married,Male,1955-09-19,2011-10-07
48,Jaclyn,Lu,Australia,Married,Male,1955-08-27,2011-10-07
49,Jeremy,Powell,Australia,Married,Male,1956-05-21,2011-10-07
50,Carol,Rai,United States,Single,Male,1986-01-15,2011-10-07
51,Alan,Zheng,Australia,Married,Male,1957-03-06,2011-10-07
52,Daniel,Johnson,Australia,Single,Male,1957-01-31,2011-10-07
53,Heidi,Lopez,Australia,Single,Male,1957-02-03,2011-10-07
54,Ana,Price,United States,Married,Male,1986-02-17,2011-10-07
55,Deanna,Munoz,Australia,Married,Male,1957-09-07,2011-10-07
56,Gilbert,Raje,Australia,Married,Male,1957-09-02,2011-10-07
57,Michele,Nath,Australia,Married,Male,1958-10-01,2011-10-07
58,Carl,Andersen,Australia,Married,Male,1970-04-07,2011-10-07
59,Marc,Diaz,Australia,Married,Male,1965-04-23,2011-10-07
60,Ashlee,Andersen,Australia,Single,Male,1959-09-29,2011-10-07
61,Jon,Zhou,Australia,Married,Male,1959-09-14,2011-10-07
62,Todd,Gao,Australia,Married,Male,1976-02-20,2011-10-07
63,Noah,Powell,United States,Married,Male,1981-03-01,2011-10-07
64,Angela,Murphy,United States,Single,Male,1980-10-04,2011-10-07
65,Chase,Reed,United States,Married,Male,1981-06-05,2011-10-07
66,Jessica,Henderson,United States,Married,Male,1979-04-08,2011-10-07
67,Grace,Butler,United States,Married,Male,1979-05-27,2011-10-07
68,Caleb,Carter,United States,Single,Male,1982-03-25,2011-10-07
69,Tiffany,Liang,Australia,Single,Male,1966-09-19,2011-10-07
70,Carolyn,Navarro,Australia,Single,Male,1966-09-17,2011-10-07
71,Willie,Raji,Australia,Married,Male,1960-10-02,2011-10-07
72,Linda,Serrano,Australia,Single,Male,1960-12-23,2011-10-07
73,Casey,Luo,Australia,Single,Male,1960-08-05,2011-10-07
74,Amy,Ye,Australia,Single,Male,1962-02-11,2011-10-07
75,Levi,Arun,Australia,Single,Male,1962-02-25,2011-10-07
76,Felicia,Jimenez,Australia,Single,Male,1963-05-16,2011-10-07
77,Blake,Anderson,Australia,Single,Male,1963-01-10,2011-10-07
78,Leah,Ye,Australia,Single,Male,1963-03-19,2011-10-07
79,Gina,Martin,Canada,Single,Male,1985-01-06,2011-10-07
80,Donald,Gonzalez,Australia,Single,Male,1970-03-07,2011-10-07
81,Damien,Chander,Australia,Married,Male,1965-01-13,2011-10-07
82,Savannah,Baker,United States,Married,Male,1972-01-21,2011-10-07
83,Angela,Butler,United States,Single,Male,1972-02-01,2011-10-07
84,Alyssa,Cox,United States,Married,Male,1977-03-11,2011-10-07
85,Lucas,Phillips,United States,Single,Male,1963-03-12,2011-10-07
86,Emily,Johnson,United States,Single,Male,1963-01-16,2011-10-07
87,Ryan,Brown,United States,Married,Male,1963-06-22,2011-10-07
88,Tamara,Liang,United States,Married,Male,1963-04-02,2011-10-07
89,Hunter,Davis,United States,Married,Male,1963-05-25,2011-10-07
90,Abigail,Price,United States,Single,Male,1962-08-05,2011-10-07
91,Trevor,Bryant,United States,Single,Male,1968-12-13,2011-10-07
92,Dalton,Perez,Canada,Married,Male,1962-10-02,2011-10-07
93,Cheryl,Diaz,Australia,Married,Male,1972-11-02,2011-10-07
94,Aimee,He,Australia,Married,Male,1978-09-06,2011-10-07
95,Cedric,Ma,Australia,Single,Male,1967-09-29,2011-10-07
96,Chad,Kumar,Australia,Single,Male,1968-02-29,2011-10-07
97,Andr├®s,Anand,Australia,Married,Male,1968-02-07,2011-10-07
98,Edwin,Nara,Australia,Married,Male,1972-10-23,2011-10-07
99,Mallory,Rubio,Australia,Single,Male,1966-10-29,2011-10-07
100,Adam,Ross,Australia,Married,Male,1966-09-05,2011-10-07
101,Latasha,Navarro,Australia,Single,Male,1966-03-15,2011-10-07
102,Abby,Sai,Australia,Single,Male,1970-11-05,2011-10-07
103,Julia,Nelson,Australia,Single,Male,1970-10-19,2011-10-07
104,Cassie,Chande,Australia,Single,Male,1981-04-12,2011-10-07
105,Edgar,Sara,Australia,Married,Male,1975-03-08,2011-10-07
106,Candace,Fernandez,Australia,Single,Male,1970-06-27,2011-10-07
107,Jessie,Liu,Australia,Single,Male,1970-03-11,2011-10-07
108,Bianca,Lin,Australia,Married,Male,1976-03-04,2011-10-07
109,Kari,Alvarez,Australia,Single,Male,1969-01-10,2011-10-07
110,Ruben,Kapoor,Australia,Single,Male,1980-04-30,2011-10-07
111,Curtis,Yang,Australia,Married,Male,1967-12-04,2011-10-07
112,Meredith,Gutierrez,Australia,Married,Male,1967-08-23,2011-10-07
113,Crystal,Wang,Australia,Married,Male,1968-03-08,2011-10-07
114,Micheal,Blanco,Australia,Married,Male,1973-02-17,2011-10-07
115,Leslie,Moreno,Australia,Single,Male,1967-11-25,2011-10-07
116,Alvin,Cai,Australia,Married,Male,1967-08-12,2011-10-07
117,Clinton,Carlson,Australia,Married,Male,1979-04-02,2011-10-07
118,April,Deng,Australia,Married,Male,1966-08-21,2011-10-07
119,Alvin,Zeng,Australia,Single,Male,1962-12-31,2011-10-07
120,Evan,James,Australia,Single,Male,1940-10-07,2011-10-07
121,Beth,Jim├®nez,Australia,Single,Male,1942-02-06,2011-10-07
122,Orlando,Suarez,Australia,Married,Male,1966-05-18,2011-10-07
123,Byron,Vazquez,Australia,Married,Male,1965-09-30,2011-10-07
124,Philip,Alvarez,Australia,Married,Male,1965-12-18,2011-10-07
125,Ross,Jordan,Australia,Single,Male,1968-07-23,2011-10-07
126,Dana,Navarro,Australia,Single,Male,1961-10-06,2011-10-07
127,Shaun,Carson,Australia,Married,Male,1954-10-05,2011-10-07
128,Jan,Edwards,United States,Married,Male,1981-04-19,2011-10-07
129,Samantha,Long,United States,Married,Male,1981-06-03,2011-10-07
130,Julia,Wright,United States,Single,Male,1981-02-01,2011-10-07
131,Caroline,Russell,United States,Married,Male,1985-07-05,2011-10-07
132,Amanda,Rivera,Canada,Married,Male,1985-09-09,2011-10-07
133,Melissa,Richardson,Canada,Single,Male,1986-04-25,2011-10-07
134,Angela,Griffin,United States,Single,Male,1986-03-08,2011-10-07
135,Larry,Townsend,Australia,Single,Male,1957-02-22,2011-10-07
136,Marcus,Harris,United States,Single,Male,1985-05-02,2011-10-07
137,Brianna,Morgan,Canada,Single,Male,1984-04-24,2011-10-07
138,Jasmine,Taylor,United States,Married,Male,1984-01-17,2011-10-07
139,Lauren,Davis,United States,Married,Male,1984-03-14,2011-10-07
140,Tanya,Moreno,Australia,Single,Male,1949-11-05,2011-10-07
141,Javier,Alvarez,United States,Single,Male,1982-08-11,2011-10-07
142,Nicole,Ramirez,United States,Married,Male,1982-12-19,2011-10-07
143,Eduardo,Patterson,Canada,Single,Male,1983-02-11,2011-10-07
144,Jonathan,Henderson,United States,Married,Male,1982-08-04,2011-10-07
145,Edward,Hernandez,United States,Single,Male,1985-03-08,2011-10-07
146,Jasmine,Coleman,United States,Single,Male,1985-06-06,2011-10-07
147,Karla,Goel,Australia,Single,Male,1945-02-22,2011-10-07
148,Ernest,Wu,Australia,Married,Male,1944-08-04,2011-10-07
149,Ross,Vazquez,Australia,Married,Male,1947-02-13,2011-10-07
150,Theodore,Gill,Australia,Married,Male,1946-10-18,2011-10-07
151,Russell,Shen,Australia,Single,Male,1946-09-12,2011-10-07
152,Melinda,Gill,Australia,Single,Male,1947-08-25,2011-10-07
153,James,Williams,United States,Single,Male,1981-07-09,2011-10-07
154,Angela,James,United States,Married,Male,1981-12-21,2011-10-07
155,Megan,Walker,United States,Single,Male,1982-02-18,2011-10-07
156,Hunter,Robinson,United States,Single,Male,1981-07-25,2011-10-07
157,Maria,Roberts,United States,Single,Male,1981-08-06,2011-10-07
158,Hannah,Long,United States,Married,Male,1980-12-08,2011-10-07
159,Jason,Wright,United States,Single,Male,1981-04-06,2011-10-07
160,Brianna,Hughes,United States,Single,Male,1981-03-16,2011-10-07
161,Maurice,Tang,United States,Single,Male,1979-07-08,2011-10-07
162,Emily,Wood,United States,Single,Male,1979-10-20,2011-10-07
163,Chase,Cox,United States,Single,Male,1979-09-02,2011-10-07
164,Gabriel,Wang,United States,Married,Male,1980-06-18,2011-10-07
165,Devin,Brooks,United States,Single,Male,1979-11-02,2011-10-07
166,Jocelyn,Alexander,United States,Married,Male,1979-01-15,2011-10-07
